objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
sw32,sw30,ysleveningdress_front.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
sw33,sw30,ysleveningdress_back.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
sw34,,,compound_object,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
sw35,sw34,sleevelessbolaro_front.jpg,image/jpg,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
sw36,sw34,sleevelessbolaro_detail.JPG,image/jpg,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
sw37,,,compound_object,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
sw38,sw37,paintedbonering_front.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
sw39,sw37,paintedbonering_top.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
sw40,sw37,paintedbonering_back.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
sw41,,,compound_object,Silk Robe ,,1930s ,UK,Clothing ,"Robes, Underwear","Silk, Satin, Silk Satin, Lace ",Female ,,,"Bias cut, mass produced, robe, possibly missing matching slip ",1983-1985,Oxford,,
sw42,sw41,silkrobe_front.jpg,image/jpg,Silk Robe ,,1930s ,UK,Clothing ,"Robes, Underwear","Silk, Satin, Silk Satin, Lace ",Female ,,,"Bias cut, mass produced, robe, possibly missing matching slip ",1983-1985,Oxford,,
sw43,sw41,silkrobe_top.jpg,image/jpg,Silk Robe ,,1930s ,UK,Clothing ,"Robes, Underwear","Silk, Satin, Silk Satin, Lace ",Female ,,,"Bias cut, mass produced, robe, possibly missing matching slip ",1983-1985,Oxford,,
sw44,sw41,silkrobe_lace.JPG,image/jpg,Silk Robe ,,1930s ,UK,Clothing ,"Robes, Underwear","Silk, Satin, Silk Satin, Lace ",Female ,,,"Bias cut, mass produced, robe, possibly missing matching slip ",1983-1985,Oxford,,
sw45,sw41,silkrobe_structure.JPG,image/jpg,Silk Robe ,,1930s ,UK,Clothing ,"Robes, Underwear","Silk, Satin, Silk Satin, Lace ",Female ,,,"Bias cut, mass produced, robe, possibly missing matching slip ",1983-1985,Oxford,,
sw46,,,compound_object,Crochet Cardigan ,,1930s,,Clothing ,Sweaters,"Wool, Hand Made ",Female ,,,"Hand crocheted, maybe mass produced but most likely home produced",1986-1988,Edinburgh ,,"Photograph 2, 1987, Edinburgh "
sw47,sw46,crochetcardigan_front.jpg,image/jpg,Crochet Cardigan ,,1930s,,Clothing ,Sweaters,"Wool, Hand Made ",Female ,,,"Hand crocheted, maybe mass produced but most likely home produced",1986-1988,Edinburgh ,,"Photograph 2, 1987, Edinburgh "
sw48,sw46,crochetcardigan_back.jpg,image/jpg,Crochet Cardigan ,,1930s,,Clothing ,Sweaters,"Wool, Hand Made ",Female ,,,"Hand crocheted, maybe mass produced but most likely home produced",1986-1988,Edinburgh ,,"Photograph 2, 1987, Edinburgh "
sw49,sw46,crochetcardigan_buttons.JPG,image/jpg,Crochet Cardigan ,,1930s,,Clothing ,Sweaters,"Wool, Hand Made ",Female ,,,"Hand crocheted, maybe mass produced but most likely home produced",1986-1988,Edinburgh ,,"Photograph 2, 1987, Edinburgh "
sw50,sw46,crochetcardigan_sleeve.JPG,image/jpg,Crochet Cardigan ,,1930s,,Clothing ,Sweaters,"Wool, Hand Made ",Female ,,,"Hand crocheted, maybe mass produced but most likely home produced",1986-1988,Edinburgh ,,"Photograph 2, 1987, Edinburgh "
sw51,,,compound_object,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
sw52,sw51,turkishcoat_front.jpg,image/jpg,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
sw53,sw51,turkishcoat_collar.jpg,image/jpg,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
